animal name, hair, feathers, eggs, milk, airborne, aquatic, predator, toothed, backbone, breathes, venomous, fins, legs, tail, domestic, catsize, type
aardvark,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,1

antelope,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,1

bass,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,4

bear,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,1

boar,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

buffalo,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,1

calf,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,1

carp,False,False,True,False,False,True,False,True,True,False,False,True,0,True,True,False,4

catfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,4

cavy,True,False,False,True,False,False,False,True,True,True,False,False,4,False,True,False,1

cheetah,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

chicken,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,2

chub,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,4

clam,False,False,True,False,False,False,True,False,False,False,False,False,0,False,False,False,7

crab,False,False,True,False,False,True,True,False,False,False,False,False,4,False,False,False,7

crayfish,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,7

crow,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,2

deer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,1

dogfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,4

dolphin,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,1

dove,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,2

duck,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,False,2

elephant,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,1

flamingo,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,True,2

flea,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,6

frog,False,False,True,False,False,True,True,True,True,True,False,False,4,False,False,False,5

frog,False,False,True,False,False,True,True,True,True,True,True,False,4,False,False,False,5

fruitbat,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,1

giraffe,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,1

girl,True,False,False,True,False,False,True,True,True,True,False,False,2,False,True,True,1

gnat,False,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,6

goat,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,1

gorilla,True,False,False,True,False,False,False,True,True,True,False,False,2,False,False,True,1

gull,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,2

haddock,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,4

hamster,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,False,1

hare,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,1

hawk,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,2

herring,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,4

honeybee,True,False,True,False,True,False,False,False,False,True,True,False,6,False,True,False,6

housefly,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,6

kiwi,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,False,2

ladybird,False,False,True,False,True,False,True,False,False,True,False,False,6,False,False,False,6

lark,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,2

leopard,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

lion,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

lobster,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,7

lynx,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

mink,True,False,False,True,False,True,True,True,True,True,False,False,4,True,False,True,1

mole,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,1

mongoose,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

moth,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,6

newt,False,False,True,False,False,True,True,True,True,True,False,False,4,True,False,False,5

octopus,False,False,True,False,False,True,True,False,False,False,False,False,8,False,False,True,7

opossum,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,1

oryx,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,1

ostrich,False,True,True,False,False,False,False,False,True,True,False,False,2,True,False,True,2

parakeet,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,2

penguin,False,True,True,False,False,True,True,False,True,True,False,False,2,True,False,True,2

pheasant,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,2

pike,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,4

piranha,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,4

pitviper,False,False,True,False,False,False,True,True,True,True,True,False,0,True,False,False,3

platypus,True,False,True,True,False,True,True,False,True,True,False,False,4,True,False,True,1

polecat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

pony,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,1

porpoise,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,1

puma,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

